month,revenue
2016-09,143.46
2016-10,48314.120000000017
2016-12,19.62
2017-01,138323.99
2017-02,286678.43999999959
2017-03,442061.0
2017-04,414527.46
2017-05,614885.90000000084
2017-06,518076.28000000038
2017-07,610664.840000001
2017-08,680858.92000000272
2017-09,746898.43999999971
2017-10,789406.96000000031
2017-11,1205033.3500000003
2017-12,877503.66999999876
2018-01,1128224.3900000025
2018-02,1016511.4399999977
2018-03,1172957.6500000001
2018-04,1174143.4900000016
2018-05,1171614.4300000011
2018-06,1064996.6799999957
2018-07,1066593.7899999991
2018-08,1020340.9100000001